Labrador Retriever,25.png,25,,,
French Bulldog,24.png,24,,,
Golden Retriever,23.png,23,,,
German Shepherd Dog,22.png,22,,,
Poodle,21.png,21,,,
Bulldog,20.png,20,,,
Beagle,19.png,19,,,
Rottweiler,18.png,18,,,
German Shorthaired Pointer,17.png,17,,,
Dachshund,16.png,16,,,
Pembroke Welsh Corgi,15.png,15,,,
Australian Shepherd,14.png,14,,,
Yorkshire Terrier,13.png,13,,,
Boxer,12.png,12,,,
Cavalier King Charles Spaniel,11.png,11,,,
Doberman Pinscher,10.png,10,,,
Great Dane,09.png,9,,,
Miniature Schnauzer,08.png,8,,,
Siberian Huskie,07.png,7,,,
Bernese Mountain Dog,06.png,6,,,
Cane Corso,05.png,5,,,
Shih Tzu,04.png,4,,,
Boston Terrier,03.png,3,,,
Pomeranian,02.png,2,,,